"song","elements"
"You're On Your Own, Kid (Strings Remix)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus"
"Sweet Nothing (Piano Remix)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Last Christmas","Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Christmases When You Were Mine","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Outro"
"Santa Baby","Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus"
"Silent Night","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Outro, Outro, Outro, Outro"
"Christmas Must Be Something More","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"White Christmas","Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 3, Verse 3, Verse 3, Verse 3, Outro, Outro"
"Beautiful Eyes","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Should've Said No (Alternate Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Teardrops On My Guitar (Acoustic Version)","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus 3, Pre-Chorus 3, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Picture To Burn (Radio Edit)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"I'm Only Me When I'm With You","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"I Heart ?","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"American Girl","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Bad Blood (Remix)","Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Beautiful Ghosts","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Carolina","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3"
"Christmas Tree Farm","Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Crazier","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Eyes Open","Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"I Don't Wanna Live Forever","Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Lover (Remix)","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Only The Young","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro"
"Ronan","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Outro, Outro"
"Safe & Sound","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Chorus, Chorus, Chorus, Chorus, Outro"
"September","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Sweeter Than Fiction","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2"
"This Love (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"Today Was A Fairytale","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"Wildest Dreams (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Babe","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Birch","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"Both Of Us","Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus"
"Gasoline (Remix)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro"
"Half Of My Heart","Verse 1, Verse 1, Verse 1, Verse 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Backup Vocals, Backup Vocals, Backup Vocals, Backup Vocals, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Highway Don't Care","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Chorus:Tim McGraw, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Pre-Chorus, Pre-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro"
"Renegade","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"The Joker And The Queen","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Three Sad Virgins","Spoken Intro, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Musical Intro, Musical Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Spoken, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"Two Is Better Than One","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
